season,timestamp,institution,location,subject_area,review_date,url,rank,appointment,institution_clean,carnegie_basic,is_r1
2024-2025,2024-08-29T06:35:16.946,Wake Forest University,North Carolina,Plant Ecophysiology,2024-10-01,https://wfu.wd1.myworkdayjobs.com/en-US/Faculty_Career_Website_live/job/Four-Tenure-Track-Positions-in-Biology--Department-of-Biology_R0006978?redirect=%252Fen-US%252FFaculty_Career_Website_live%252Fjob%252FWinston-Salem%252C-NC%252FFour-Tenure-Track-Positions-in-Biology--Department-of-Biology_R0006978%252Fapply%252FapplyManually,Asst Prof,Tenure Stream,Wake Forest University,16,false
2024-2025,2024-08-29T06:35:54.136,Wake Forest University,North Carolina,Microbiology,2024-10-01,https://wfu.wd1.myworkdayjobs.com/en-US/Faculty_Career_Website_live/job/Four-Tenure-Track-Positions-in-Biology--Department-of-Biology_R0006978?redirect=%252Fen-US%252FFaculty_Career_Website_live%252Fjob%252FWinston-Salem%252C-NC%252FFour-Tenure-Track-Positions-in-Biology--Department-of-Biology_R0006978%252Fapply%252FapplyManually,Asst Prof,Tenure Stream,Wake Forest University,16,false
2024-2025,2024-08-29T09:30:48.325,Rutgers University,New Jersey,Evolutionary Genetics,2024-10-15,https://jobs.rutgers.edu/postings/234783,Asst Prof,Tenure Stream,Rutgers University-New Brunswick,15,true
2024-2025,2024-08-29T10:59:54.945,Wake Forest University,North Carolina,Neuroscience,2024-10-01,https://wfu.wd1.myworkdayjobs.com/en-US/Faculty_Career_Website_live/details/Four-Tenure-Track-Positions-in-Biology--Department-of-Biology_R0006978,Asst Prof,Tenure Stream,Wake Forest University,16,false
2024-2025,2024-08-29T13:11:08.413,Quinnipiac University,Connecticut,Environmental Science / Plant Biology,2024-10-11,https://career.qu.edu/en-us/job/495851/fulltime-tenure-track-faculty-environmental-science-and-studiesplant-biology,Asst Prof,Tenure Stream,Quinnipiac University,17,false
2024-2025,2024-08-29T15:50:41.178,Binghamton University,New York,Behavioral Ecology,2024-08-29,https://binghamton.interviewexchange.com/jobofferdetails.jsp?JOBID=180383&CNTRNO=3&TSTMP=0,Asst Prof,Tenure Stream,Binghamton University,15,true
2024-2025,2024-08-30T07:06:59.203,Florida Atlantic University,Florida,"Director, School of Environmental, Coastal, and Ocean Sustainability",2024-11-01,https://fau.wd1.myworkdayjobs.com/en-US/FAU/details/Director--School-of-Environmental--Coastal--and-Ocean-Sustainability_REQ18764-1,Full Prof,Tenure Stream,Florida Atlantic University,16,false
2024-2025,2024-08-30T09:08:26.612,Michigan State University,Michigan,Medical / Veterinary Entomology,2024-10-31,https://careers.msu.edu/en-us/job/520482/assistant-professortenure-system,Asst Prof,Tenure Stream,Michigan State University,15,true
2024-2025,2024-08-30T10:36:44.830,Vassar College,New York,Immunology,2024-09-20,https://employment.vassar.edu/postings/3993,Asst Prof,Tenure Stream,Vassar College,21,false
2024-2025,2024-08-30T14:46:54.937,University of Texas at El Paso,Texas,Wildlife Biology,2024-10-15,https://utep.interviewexchange.com/jobofferdetails.jsp?JOBID=180573,Asst Prof,Tenure Stream,The University of Texas at El Paso,15,true
2024-2025,2024-08-30T14:55:18.948,Austin College,Texas,Vertebrate Anatomy and Organismal Biology,2024-09-16,https://jobs.chronicle.com/job/37703239/assistant-professors-of-cell-and-molecular-biology-and-organismal-biology/,Asst Prof,Tenure Stream,Austin College,21,false
2024-2025,2024-08-31T06:50:34.805,Clemson University,South Carolina,Mechanisms of Biological Resilience,2024-11-01,https://apply.interfolio.com/153026,Asst Prof,Tenure Stream,Clemson University,15,true
2024-2025,2024-08-31T09:10:40.036,University of Akron,Ohio,"Genetics, Genomics or Bioinformatics",2024-09-30,https://uakron.wd1.myworkdayjobs.com/en-US/UACareers/job/Assistant-Professor-of-Genetics--Genomics-or-Bioinformatics_JR101457,Asst Prof,Tenure Stream,,,
2024-2025,2024-08-31T21:16:37.905,Austin Peay State University,Tennessee,Disease Ecologist,,https://apsu.peopleadmin.com/postings/17151,Asst Prof,Tenure Stream,Austin Peay State University,18,false
2024-2025,2024-08-31T21:17:21.359,Austin Peay State University,Tennessee,Genetics,,https://apsu.peopleadmin.com/postings/17148,Asst Prof,Tenure Stream,Austin Peay State University,18,false
2024-2025,2024-09-03T08:43:32.075,Virginia Tech,Virginia,Invasive Species Economics,2024-11-15,https://careers.pageuppeople.com/968/cw/en-us/job/530578/associate-or-full-professor,Assoc / Full Prof,Tenure Stream,Virginia Polytechnic Institute and State University,15,true
2024-2025,2024-09-03T10:11:13.297,Texas A&M University,Texas,Geological Oceanography,2024-09-26,http://apply.interfolio.com/150227,Asst / Assoc Prof,Tenure Stream,Texas A & M University-College Station,15,true
2024-2025,2024-09-03T12:12:09.107,Centre College,Kentucky,"Genetics, Microbiology",2024-09-15,https://apply.interfolio.com/151597,Asst / Assoc Prof,Tenure Stream,Centre College,21,false
2024-2025,2024-09-04T06:09:18.368,Louisiana State University,Louisiana,Wildlife,2024-10-15,https://lsu.wd1.myworkdayjobs.com/LSU/job/0341-Renewable-Natural-Resources-Building/Assistant-Associate-Full-Professor--Wildlife-_R00098175-1,Rank Open,Tenure Stream,Louisiana State University and Agricultural & Mechanical College,15,true
2024-2025,2024-09-04T06:09:18.368,Louisiana State University,Louisiana,Aquaculture / Fisheries,2024-10-15,https://lsu.wd1.myworkdayjobs.com/en-US/LSU/job/0107-Aquaculture-Research-Facility/Assistant-Associate-Full-Professor--Aquaculture-Fisheries-_R00098116,Rank Open,Tenure Stream,Louisiana State University and Agricultural & Mechanical College,15,true
2024-2025,2024-09-04T06:09:18.368,Louisiana State University,Louisiana,Forestry,2024-10-15,https://lsu.wd1.myworkdayjobs.com/en-US/LSU/job/0220-Renewable-Natural-Resources-Building/Assistant-Associate-Full-Professor--Forestry-_R00098129,Rank Open,Tenure Stream,Louisiana State University and Agricultural & Mechanical College,15,true
2024-2025,2024-09-04T06:09:18.368,Louisiana State University,Louisiana,Soil Microbiology of Cropping Systems,2024-09-30,https://lsu.wd1.myworkdayjobs.com/en-US/LSU/job/0310-Madison-B-Sturgis-New-Agronomy-Bldg/Assistant-Associate-Professor---Soil-Microbiology-of-Cropping-Systems_R00094451,Asst / Assoc Prof,Tenure Stream,Louisiana State University and Agricultural & Mechanical College,15,true
2024-2025,2024-09-04T07:41:24.673,University of Pennsylvania,Pennsylvania,Biology of Human-Altered Environments,2024-10-07,https://apply.interfolio.com/153362,Asst Prof,Tenure Stream,University of Pennsylvania,15,true
2024-2025,2024-09-04T08:02:58.112,Rose-Hulman Institute of Technology,Indiana,"Ecology, Evolutionary Biology or Organismal Biology",2024-09-23,https://rosehulman.csod.com/ux/ats/careersite/9/home/requisition/610?c=rosehulman,Rank Open,Tenure Stream,Rose-Hulman Institute of Technology,28,false
2024-2025,2024-09-04T09:29:10.943,University of Massachusetts Boston,Massachusetts,Marine Ecology,2024-11-20,https://employmentopportunities.umb.edu/boston/en-us/job/524639/assistant-professor-marine-ecology,Asst Prof,Tenure Stream,University of Massachusetts-Boston,16,false
2024-2025,2024-09-05T06:07:15.270,Berry College,Georgia,Terrestrial Ecology,2024-10-01,https://berry.interviewexchange.com/jobofferdetails.jsp?JOBID=180659,Asst Prof,Tenure Stream,Berry College,20,false
2024-2025,2024-09-05T08:57:11.738,University of Texas at El Paso,Texas,Community Ecology ,2024-10-31,https://utep.interviewexchange.com/jobofferdetails.jsp?JOBID=180697,Asst Prof,Tenure Stream,The University of Texas at El Paso,15,true
2024-2025,2024-09-05T13:42:30.499,University of Pennsylvania,Pennsylvania,Machine Learning in Biology,2024-10-21,https://apply.interfolio.com/153398,Asst Prof,Tenure Stream,University of Pennsylvania,15,true
2024-2025,2024-09-05T15:58:22.047,Northwest Missouri State University,Missouri,Ecology,,https://www.schooljobs.com/careers/nwmissouri/jobs/4646819/assistant-professor-of-biology-tenure-track-natural-sciences,Asst Prof,Tenure Stream,Northwest Missouri State University,18,false
2024-2025,2024-09-06T09:55:41.477,Dauphin Island Sea Lab / Univ of South Alabama,Alabama,Marine Science and Conservation,2024-10-07,https://www.disl.edu/about/employment/faculty-marine-science-and-conservation/,Asst / Assoc Prof,Tenure Stream,,,
2024-2025,2024-09-06T10:29:20.224,UC Berkeley,California,Climate Change Solutions,2024-11-01,https://aprecruit.berkeley.edu/JPF04196,Asst Prof,Tenure Stream,University of California-Berkeley,15,true
2024-2025,2024-09-06T11:44:27.069,Colgate University,New York,Molecular Biology,2024-10-04,https://apply.interfolio.com/151097,Asst Prof,Tenure Stream,Colgate University,21,false
2024-2025,2024-09-07T15:15:05.779,Rollins College,Florida,Ecology,2024-10-25,https://jobs.rollins.edu/en-us/job/493706/assistant-professor-ecology?source=IND,Asst Prof,Tenure Stream,Rollins College,18,false
2024-2025,2024-09-09T06:26:54.592,Coastal Carolina University,South Carolina,Marine Biology (Nekton Ecology),2024-09-22,https://www.schooljobs.com/careers/ccu/jobs/4585943/assistant-professor-of-marine-biology,Asst Prof,Tenure Stream,Coastal Carolina University,18,false
2024-2025,2024-09-09T06:33:29.426,Skagit Valley College,Washington,Environmental Conservation,2024-11-11,https://www.schooljobs.com/careers/skagitedu/jobs/4649934/environmental-conservation-faculty-full-time-tenure-track,Asst Prof,Tenure Stream,Skagit Valley College,14,false
2024-2025,2024-09-09T07:03:43.993,Miami University,Ohio,Epigenetics,2024-10-07,https://wd5.myworkday.com/miamioh/d/inst/1$9925/9925$969.htmld,Asst Prof,Tenure Stream,Miami University-Oxford,16,false
2024-2025,2024-09-09T15:43:42.726,University of Chicago,Illinois,Biological Sciences (including Ecology & Evolution),,https://academicjobs.uchicago.edu/positions/146083,Asst Prof,Tenure Stream,University of Chicago,15,true
2024-2025,2024-09-09T16:12:18.352,University of Mississippi,Mississippi,Freshwater Ecology,2024-10-15,https://careers.olemiss.edu/job/University-Henry-L_-and-Grace-Doherty-Chair-Professor-in-Freshwater-Ecology-MS-38677/1211052900/,Assoc / Full Prof,Tenure Stream,University of Mississippi,15,true
2024-2025,2024-09-10T09:54:27.029,University of Illinois at Urbana-Champaign,Illinois,Microbiology,2024-10-31,https://www.asmcareerconnections.org/job/assistant-or-associate-professor/75056449/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Asst / Assoc Prof,Tenure Stream,University of Illinois Urbana-Champaign,15,true
2024-2025,2024-09-10T11:43:31.141,Ithaca College,New York,Environmental science,2024-09-15,https://ehwy.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/preview/2606/?lastSelectedFacet=CATEGORIES&selectedCategoriesFacet=300000003237789,Asst Prof,Tenure Stream,Ithaca College,18,false
2024-2025,2024-09-10T13:20:58.334,New Mexico State University,New Mexico,Animal Evolutionary Biologist,2024-10-25,https://careers.nmsu.edu/jobs/assistant-professor-animal-evolutionary-biologist-las-cruces-new-mexico-united-states,Asst Prof,Tenure Stream,New Mexico State University-Main Campus,16,false
2024-2025,2024-09-10T18:59:25.011,Central Connecticut State University,Connecticut,Ornithology (Climate Change Emphasis),2024-10-31,https://host.pcrecruiter.net/pcrbin/jobboard.aspx?JOBSHAREYIRGLTRS2MJGPZCXPOZUJ2WTOOB233QPEM2MBNQYBDB2W4FL6ZDRLKAGKXVBK2GCWDE6KIL5FVSEWB2MVZI3RMO5GV4LLCNXPZZR5INZNBAFZZA75EXOKGLP7GV6O2REUCWI7CQEZHOFVD4IVR3HVSLAHNSNUG63GWOQ,Asst Prof,Tenure Stream,Central Connecticut State University,18,false
2024-2025,2024-09-11T00:49:19.686,Harvard University,Massachusetts,Evolutionary Biology,2024-11-01,https://academicpositions.harvard.edu/postings/14051,Tenure Track Professor,Tenure Stream,Harvard University,15,true
2024-2025,2024-09-11T06:47:41.464,New York University,New York,Ecological & Evolutionary Biology,2024-11-03,https://jobs.chronicle.com/job/37712421/assistant-professor-tenure-track-ecological-and-evolutionary-biology-environmental-studies-/,Asst Prof,Tenure Stream,New York University,15,true
2024-2025,2024-09-11T06:55:58.981,University of Tampa,Florida,Terrestrial Ecology,2024-10-18,https://utampa.wd1.myworkdayjobs.com/en-US/Faculty/job/Tampa/Assistant-Professor-of-Biology--Terrestrial-Ecology-_R0008967-1,Asst Prof,Tenure Stream,The University of Tampa,18,false
2024-2025,2024-09-11T06:57:08.110,University of Tampa,Florida,Genetics,2024-10-18,https://utampa.wd1.myworkdayjobs.com/en-US/Faculty/job/Tampa/Assistant-Professor-of-Biology---Genetics-_R0008975-2,Asst Prof,Tenure Stream,The University of Tampa,18,false
2024-2025,2024-09-11T08:50:40.889,Harvard University,Massachusetts,Animal Comparative Physiology & Biomechanics,2024-10-15,https://academicpositions.harvard.edu/postings/14052,Rank Open,Tenure Stream,Harvard University,15,true
2024-2025,2024-09-11T16:23:10.081,University of California- Davis,California,Wildlife Ecology,2024-12-02,https://recruit.ucdavis.edu/JPF06725,Asst Prof,Tenure Stream,University of California-Davis,15,true
2024-2025,2024-09-12T06:45:27.526,Harvard University,Massachusetts,Marine Biology,2024-10-04,https://academicpositions.harvard.edu/postings/14053,Asst / Assoc Prof,Tenure Stream,Harvard University,15,true
2024-2025,2024-09-12T15:11:43.995,Scripps College,California,Molecular Biology,2024-09-15,https://www.scrippscollege.edu/hr/faculty/tenure-track-position-in-molecular-biology-the-department-of-natural-sciences-pitzer-and-scripps-colleges,Asst Prof,Tenure Stream,Scripps College,21,false
2024-2025,2024-09-13T05:35:25.163,Indiana University,Indiana,Environmental Pollutant Fate and Transport,2024-10-15,https://indiana.peopleadmin.com/postings/25694,Asst Prof,Tenure Stream,Indiana University-Bloomington,15,true
2024-2025,2024-09-13T05:37:50.423,Yale University,Connecticut,Vertebrate Functional Biology,2024-11-01,https://apply.interfolio.com/153439,Asst Prof,Tenure Stream,Yale University,15,true
2024-2025,2024-09-13T08:22:13.671,Virginia Tech,Virginia,Invasive Species Geneticist,2024-10-11,https://careers.pageuppeople.com/968/cw/en-us/job/530750/invasive-species-geneticist,Asst / Assoc Prof,Tenure Stream,Virginia Polytechnic Institute and State University,15,true
2024-2025,2024-09-13T10:18:29.214,Georgia Southern University,Georgia,Geosciences and Sustainability,2024-11-01,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_SCHJOB_FL&Action=U,Assoc / Full Prof,Tenure Stream,Georgia Southern University,16,false
2024-2025,2024-09-13T16:19:39.668,University of Massachusetts Amherst,Massachusetts,Plant Biologist,2024-10-15,https://careers.umass.edu/en-us/job/524682/assistant-professor-plant-biology,Asst Prof,Tenure Stream,University of Massachusetts Amherst,,
2024-2025,2024-09-13T16:26:19.259,University of Massachusetts Amherst,Massachusetts,Developmental Cell Biology,2024-10-15,https://careers.umass.edu/en-us/job/524681/assistant-professor-developmental-cell-biology,Asst Prof,Tenure Stream,University of Massachusetts Amherst,,
2024-2025,2024-09-13T19:49:41.219,University of Wisconsin-Madison,Wisconsin,Infectious Diseases,2024-11-15,https://jobs.wisc.edu/jobs/assistant-professor-of-infectious-diseases-madison-wisconsin-united-states,Asst Prof,Tenure Stream,University of Wisconsin-Madison,15,true
2024-2025,2024-09-14T11:01:33.570,University of New Hampshire,New Hampshire,GIS and Conservation Science,,https://jobs.usnh.edu/postings/63089?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,Asst Prof,Tenure Stream,University of New Hampshire-Main Campus,15,true
2024-2025,2024-09-14T23:28:40.166,Chaffey College,California,Biology (Ecology/Environmental),2024-10-06,https://www.schooljobs.com/careers/chaffey/jobs/4658354/instructor-biology-ecology-environmental-science-emphasis,Instructor,Tenure Stream,Chaffey College,1,false
2024-2025,2024-09-15T19:09:48.166,UC Davis,California,Evolution and Ecology,2024-11-01,https://recruit.ucdavis.edu/JPF06690?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,Asst Prof of Teaching,Tenure Stream,University of California-Davis,15,true
2024-2025,2024-09-16T13:06:00.075,Duke University,North Carolina,"Ecology, Evolution or Organismal Biology ",2024-10-15,https://biology.duke.edu/about-us/jobs,Asst Prof,Tenure Stream,Duke University,15,true
2024-2025,2024-09-16T15:41:53.758,Sewanee: The University of the South,Tennessee,Neurobiology,2024-10-04,https://www.schooljobs.com/careers/sewanee/jobs/4645705/assistant-professor-neurobiology-tenure-track?pagetype=jobOpportunitiesJobs,Asst Prof,Tenure Stream,The University of the South,21,false
2024-2025,2024-09-16T15:57:40.242,Washington State University,Washington,Integrative Animal Physiology,2024-10-15,https://wsu.wd5.myworkdayjobs.com/en-US/WSU_Jobs/details/Assistant-Professor_R-12408-1?jobFamilyGroup=7a7d62448767019c28e399bff8053d45,Asst Prof,Tenure Stream,Washington State University,15,true
2024-2025,2024-09-16T16:11:31.823,Nova Southeastern University,Florida,Marine Biology,2024-09-18,https://nsucareers.nova.edu/mob/en-us/job/505346/chairprofessor-marine-biology-991509,Full Prof,Tenure Stream,Nova Southeastern University,16,false
2024-2025,2024-09-16T19:20:32.987,Lehigh University,Pennsylvania,Genomics,2024-12-02,https://academicjobsonline.org/ajo/jobs/28345,Asst Prof,Tenure Stream,Lehigh University,16,false
2024-2025,2024-09-17T06:26:24.713,Oregon State University,Oregon,Forest Genetics,2024-10-14,https://jobs.oregonstate.edu/postings/159485,Asst / Assoc Prof,Tenure Stream,Oregon State University,15,true
2024-2025,2024-09-17T08:25:07.164,"California State University, Northridge",California,Plant Conservation Ecologist,2024-10-23,https://careers.pageuppeople.com/873/nr/en-us/job/542405/assistant-professor-plant-conservation-ecology-department-of-biology-2511,Asst Prof,Tenure Stream,California State University-Northridge,18,false
2024-2025,2024-09-17T10:27:50.349,Santa Clara University,California,Cell Biology or Organismal Biology,2024-10-15,https://wd1.myworkdaysite.com/en-US/recruiting/scu/scu/details/Assistant-Professor-in-Cell-Biology-or-Organismal-Biology_R4746?q=organism&jobFamilyGroup=e834aa15daf9010b7a0b3994871b132d,Asst Prof,Tenure Stream,Santa Clara University,17,false
2024-2025,2024-09-17T10:54:03.252,Trinity College,Connecticut,Vertebrate Biology,2024-10-11,https://trincoll.peopleadmin.com/postings/3380,Asst Prof,Tenure Stream,Trinity College,21,false
2024-2025,2024-09-17T12:25:57.102,West Virginia Wesleyan College,West Virginia,Botany / Plant Ecology,2024-11-15,https://www.wvwc.edu/jobs/assistant-professor-of-biology/,Asst Prof,Tenure Stream,West Virginia Wesleyan College,22,false
2024-2025,2024-09-17T12:32:52.335,Blackburn College,Illinois,Zoology / Animal Physiology,2024-10-11,https://www.higheredjobs.com/faculty/details.cfm?JobCode=178921406&Title=Professor%20of%20Biology%2FZoology%2FAnimal%20Physiology,Asst Prof,Tenure Stream,Blackburn College,22,false
2024-2025,2024-09-17T15:45:51.110,Pepperdine University,California,Zoology / Animal Physiology,2024-10-01,http://apply.interfolio.com/151125,Asst Prof,Tenure Stream,Pepperdine University,17,false
2024-2025,2024-09-17T16:03:30.098,Eastern New Mexico University,New Mexico,Wildlife Biology,2024-12-01,https://www.schooljobs.com/careers/enmu/jobs/4656606/assistant-professor-of-biology,Asst / Assoc Prof,Tenure Stream,Eastern New Mexico University-Main Campus,18,false
2024-2025,2024-09-18T07:55:40.987,Ball State University,Indiana,Field Ecology,2024-10-15,https://bsu.peopleadmin.com/postings/44848,Asst Prof,Tenure Stream,Ball State University,16,false
2024-2025,2024-09-19T05:01:28.187,Stony Brook University,New York,Drylands Ecology,2024-11-19,https://apply.interfolio.com/152962,Asst Prof,Tenure Stream,Stony Brook University,15,true
2024-2025,2024-09-19T07:25:25.147,UNC Chapel Hill,North Carolina,Plant Evolutionary Biology,2024-10-11,https://jobs.plantae.org/jobs/20575019/assistant-professor-in-plant-evolutionary-biology?utm_source=BTITwitter&utm_medium=Twitter&utm_campaign=BTI%2BTwitter%2BFeed,Asst Prof,Tenure Stream,University of North Carolina at Chapel Hill,15,true
2024-2025,2024-09-19T07:45:29.688,Caesar Kleberg Wildlife Research Institute- Texas A&M University-Kingsville,Texas,Wildlife-Livestock Interactions,,https://tamus.wd1.myworkdayjobs.com/en-US/TAMUK_External/details/Sue-and-Radcliffe-Killam-Endowed-Chair-in-Wildlife--Livestock--and-Habitat-Interactions--Open-Rank-Professor-_R-077361,Rank Open,Tenure Stream,Texas A & M University-Kingsville,16,false
2024-2025,2024-09-19T10:17:14.139,University of Washington,Washington,Freshwater Ecology,2024-10-25,https://ap.washington.edu/ahr/position-details/?job_id=147861,Asst Prof,Tenure Stream,University of Washington-Seattle Campus,15,true
2024-2025,2024-09-19T10:19:44.021,University of Washington,Washington,Salmon Ecology and Evolution,2024-10-25,https://ap.washington.edu/ahr/position-details/?job_id=147872,Asst / Assoc Prof,Tenure Stream,University of Washington-Seattle Campus,15,true
2024-2025,2024-09-19T19:50:41.266,University of Minnesota,Minnesota,Biology Education,2024-10-28,https://cbs.umn.edu/btl/work-btl,Rank Open,Tenure Stream,University of Minnesota-Twin Cities,15,true
2024-2025,2024-09-20T05:40:11.603,Boston University,Massachusetts,Global Change,2024-10-15,https://jobs.silkroad.com/BUCareers/Faculty/jobs/314681,Asst Prof,Tenure Stream,Boston University,15,true
2024-2025,2024-09-20T05:42:00.102,Ohio State University,Ohio,Museum Director,2024-10-15,osu.wd1.myworkdayjobs.com/en-US/OSUCareers/job/Columbus-Campus/Director--Museum-of-Biological-Diversity_R114967-1,Assoc Prof,Tenure Stream,Ohio State University-Main Campus,15,true
2024-2025,2024-09-20T05:42:58.633,Ohio State University,Ohio,Biodiversity Science,2024-10-15,https://osu.wd1.myworkdayjobs.com/en-US/OSUCareers/job/Columbus-Campus/Assistant-Professor_R114977-1,Asst Prof,Tenure Stream,Ohio State University-Main Campus,15,true
2024-2025,2024-09-20T08:19:01.730,University of Minnesota Twin Cities,Minnesota,Just Environments,2024-11-01,https://jobs.aag.org/job/presidents-postdoctoral-fellowship-in-just-environments/75220917/,Postdoc-to-TT,Tenure Stream,University of Minnesota-Twin Cities,15,true
2024-2025,2024-09-20T08:56:49.406,Ball State University,Indiana,Biology - Genetics,2024-10-20,https://bsu.peopleadmin.com/postings/44933,Asst Prof,Tenure Stream,Ball State University,16,false
2024-2025,2024-09-21T11:43:34.305,University of North Carolina at Greensboro,North Carolina,Genetics and/or Cell Biology,2024-11-01,https://spartantalent.uncg.edu/postings/30224,Asst Prof,Tenure Stream,University of North Carolina at Greensboro,16,false
2024-2025,2024-09-23T00:49:42.421,University of Washington,Washington,Terrestrial Avian Ecology,2024-10-31,https://ap.washington.edu/ahr/position-details/?job_id=141415,Asst Prof,Tenure Stream,University of Washington-Seattle Campus,15,true
2024-2025,2024-09-23T05:51:51.948,SMU,Texas,Earth and Environmental Sciences,2024-11-15,https://apply.interfolio.com/150778,Asst Prof,Tenure Stream,Southern Methodist University,16,false
2024-2025,2024-09-23T08:44:46.919,Kennesaw State University,Georgia,Animal Physiology,2024-11-01,https://www.kennesaw.edu/human-resources/careers/,Asst / Assoc Prof,Tenure Stream,Kennesaw State University,16,false
2024-2025,2024-09-23T10:42:28.133,Miami University,Ohio,Environmental Science,2024-09-30,https://miamioh.wd5.myworkdayjobs.com/miamioh-faculty/job/Shideler-Hall/Director--Institute-for-the-Environment-and-Sustainability_JR100982-1,Assoc / Full Prof,Tenure Stream,Miami University-Oxford,16,false
2024-2025,2024-09-23T11:08:42.567,University of Oklahoma,Oklahoma,Computational Biology,2024-10-16,https://apply.interfolio.com/154459,Asst Prof,Tenure Stream,University of Oklahoma-Norman Campus,15,true
2024-2025,2024-09-23T12:32:14.207,Valdosta State University,Georgia,Department Head of Biology,2024-11-11,https://www.higheredjobs.com/institution/details.cfm?JobCode=178927856&Title=Department%20Head%20-%20Biology,Assoc / Full Prof,Tenure Stream,Valdosta State University,17,false
2024-2025,2024-09-23T14:31:52.682,Southern Illinois University,Illinois,"Global Change, Human-Modified Environments and/or Sustainability (Cluster Hire)",2024-11-15,https://www.schooljobs.com/careers/siu/jobs/4668451/assistant-professor-biological-sciences-talent-pool-search,Asst Prof,Tenure Stream,Southern Illinois University-Carbondale,16,false
2024-2025,2024-09-23T18:24:56.330,Berry College,Georgia,Soil Science,,https://berry.interviewexchange.com/jobofferdetails.jsp?JOBID=181140,Asst Prof,Tenure Stream,Berry College,20,false
2024-2025,2024-09-24T06:10:59.233,University of Kansas,Kansas,Bee Biodiversity & Evolution,2024-11-01,https://employment.ku.edu/jobs/faculty/asst-prof-asst-curator-in-bee-biodiversity-and-evolution/29083br,Asst / Assoc Prof,Tenure Stream,University of Kansas,15,true
2024-2025,2024-09-24T06:14:36.711,University of North Dakota,North Dakota,Quantitative Conservation Biology,2024-10-23,https://careers.und.edu/jobs/assistant-professor-biology-tenure-track-grand-forks-north-dakota-united-states,Asst Prof,Tenure Stream,University of North Dakota,16,false
2024-2025,2024-09-24T06:16:41.920,Kennesaw State University,Georgia,Ecology,2024-11-01,https://careers.hprod.onehcm.usg.edu/psp/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=43000&JobOpeningId=277440&PostingSeq=1,Asst Prof,Tenure Stream,Kennesaw State University,16,false
2024-2025,2024-09-24T08:44:49.517,University of California Santa Barbara,California,Terrestrial Global Change Biology,2024-11-01,https://recruit.ap.ucsb.edu/JPF02500,Asst Prof,Tenure Stream,University of California-Santa Barbara,15,true
2024-2025,2024-09-24T12:56:54.139,University of Oklahoma ,Oklahoma,Ornithology,2024-10-23,https://apply.interfolio.com/154668,Asst Prof,Tenure Stream,University of Oklahoma-Norman Campus,15,true
2024-2025,2024-09-24T13:56:50.094,"University of California, Los Angeles (UCLA)",California,Geography - Environmental Change,2024-11-01,https://recruit.apo.ucla.edu/JPF09700,Asst Prof,Tenure Stream,University of California-Los Angeles,15,true
2024-2025,2024-09-24T17:28:56.355,University of Massachusetts Amherst,Massachusetts,Forest Insect Management & Conservation,2024-10-20,https://careers.umass.edu/amherst/en-us/job/524891/assistant-professor-forest-insect-management-conservation,Asst Prof,Tenure Stream,University of Massachusetts Amherst,,
2024-2025,2024-09-24T21:56:33.640,Cal Poly San Luis Obispo,California,Marine Ecology,2024-10-24,https://jobs.calpoly.edu/en-us/job/542968/tenure-track-position-marine-ecology,Asst Prof,Tenure Stream,California Polytechnic State University-San Luis Obispo,18,false
2024-2025,2024-09-25T07:53:59.259,Rutgers University,New Jersey,Computational Ecology,2024-10-15,https://jobs.rutgers.edu/postings/235884,Asst Prof,Tenure Stream,Rutgers University-New Brunswick,15,true
2024-2025,2024-09-25T08:32:37.544,Loyola University Maryland,Maryland,Ecology and/or Evolution,2024-10-20,https://loyola.wd5.myworkdayjobs.com/en-US/External/job/Assistant-Professor-of-Biology--Ecology-and-Evolution-_R-0000000253,Asst Prof,Tenure Stream,Loyola University Maryland,18,false
2024-2025,2024-09-25T09:39:15.153,Kansas State University,Kansas,Conservation Biology,2024-11-15,https://careers.k-state.edu/jobs/assistant-professor-manhattan-kansas-united-states-ead72ab4-0fbb-4d3e-be13-bdfa7d34837f,Asst Prof,Tenure Stream,Kansas State University,15,true
2024-2025,2024-09-25T10:48:36.216,Arizona State University,Arizona,School Director for the School of Mathematical & Natural Sciences,2024-10-23,https://apply.interfolio.com/155086,Full Prof,Tenure Stream,Arizona State University Campus Immersion,15,true
2024-2025,2024-09-25T11:15:24.452,University of Washington,Washington,Applied Organismal Biology & Aquaculture,2024-10-25,http://apply.interfolio.com/154407,Assoc / Full Prof,Tenure Stream,University of Washington-Seattle Campus,15,true
2024-2025,2024-09-25T14:17:12.880,Washington College,Maryland,Terrestrial Ecologist,2024-10-15,https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=33686&clientkey=DA71CF6827C59F768030B3905BDF8A6A,Asst Prof,Tenure Stream,Washington College,21,false
